lambda,x,nd,N,sigma,G
3.141592653589793,2,20,4224,38.70551495797322,0.28875815767869056
3.4639455866786792,1.8138810642242411,20,4224,30.727711508300505,0.3388257306406044
3.8193745499627174,1.6450822575756334,20,4224,24.18723735552197,0.39420051528179395
4.211273412897315,1.4919917780538539,20,4224,18.794734768242485,0.4527431382337682
4.6433842835206915,1.3531478170950715,20,4224,14.384181556334296,0.5121363312328406
5.119833240562075,1.2272246012625587,20,4224,10.836735535760116,0.5702741149062202
5.645169731954525,1.1130197328901503,20,4224,8.041680742373355,0.6254848084953581
6.224410015955312,1.0094427087986833,20,4224,5.885470446841606,0.676606049418071
6.863085059678223,0.9155045074545782,20,4224,4.254749262309138,0.7229585848797905
7.567293352404469,0.8303081451419001,20,4224,3.0431292001326726,0.7642660945437407
8.34375913796844,0.7530401109720231,20,4224,2.1566671719382895,0.8005566768649695
9.199896622259399,0.682962598946737,20,4224,1.5165792324213918,0.8320679908778159
10.143880768934538,0.6194064629014305,20,4224,1.0594954638912701,0.8591669585334641
11.184725359347482,0.5617648270575102,20,4224,0.7361171191586707,0.8822875223441489
12.332369062059708,0.5094872911734115,20,4224,0.5091005304307601,0.9018857466523755
13.597770333783155,0.462074674961177,20,4224,0.3507548542494236,0.9184096078687384
14.993012057930748,0.4190742515848251,20,4224,0.24089567628981848,0.9322802582943788
16.531416919932337,0.38007542472683,20,4224,0.1650119276035192,0.9438817186642381
18.22767462099559,0.3447058079444914,20,4224,0.11278709522137548,0.9535564392055537
20.097982145032397,0.31262766887931565,20,4224,0.07695287417134751,0.9616047304942026
22.160198418111698,0.2835347043663784,20,4224,0.05242608352941131,0.9682865857870662
24.434014837228744,0.25714911565029613,20,4224,0.035672997021967086,0.9738248490343011
26.941143296711868,0.23321895578004073,20,4224,0.02424903376669702,0.9784090188307524
29.705523507666157,0.2115157238537834,20,4224,0.01646981893823385,0.9821992274233553
32.75355159007694,0.19183218314203057,20,4224,0.011178569647839944,0.9853301112668782
36.11433212032006,0.17398038225506307,20,4224,0.007582964953835356,0.987914411846081
39.819956040795184,0.15778986045947715,20,4224,0.005141507177438158,0.9900462269418875
43.90580708534532,0.1431060200070154,20,4224,0.0034847852837752123,0.9918038848326047
48.41089964641413,0.1297886499336104,20,4224,0.0023611583174177756,0.9932524459812994
53.37825131011935,0.11771058723290231,20,4224,0.001599417531748407,0.9944458551178048
58.85529361645118,0.10675650262023867,20,4224,0.0010831937538797924,0.9954287759644884
64.89432496680523,0.0968217992928282,20,4224,0.0007334565099690719,0.9962381444499973
71.55301000350774,0.0878116141706906,20,4224,0.0004965694451828519,0.9969044763380808
78.89493022973853,0.07963991208159041,20,4224,0.0003361507755044145,0.9974529632609594
86.99019112753157,0.07222866424064009,20,4224,0.0002275337741572436,0.9979043881615232
95.91609157101534,0.06550710318015385,20,4224,0.00015400072492025637,0.9982758877324004
105.75786192689174,0.05941104701533229,20,4224,0.00010422477896635755,0.9985815859691355
116.60947789002043,0.05388228659342371,20,4224,0.00007053352835700727,0.9988331196466422
128.57455782514802,0.04886802967445751,20,4224,0.00004773103257650681,0.9990400734970722
141.76735218318927,0.04432039683622337,20,4224,0.00003229907507123579,0.9992103401624625
156.31383443965782,0.04019596429006479,20,4224,0.000021855774954936756,0.9993504176265046
172.3529039722457,0.03645534924199118,20,4224,0.00001478875221047443,0.9994656547829546
190.0377123634149,0.03306283383986469,20,4224,0.000010006632924173286,0.9995604540478717
209.53712579241235,0.029986024115861522,20,4224,0.000006770754953081074,0.9996384384377995
231.0373374805884,0.02719554066756632,20,4224,0.00000458121011835941,0.9997025892836644
254.74364558670564,0.02466473812411943,20,4224,0.000003099690847656151,0.9997553596992159
280.88241352875497,0.022369450718694974,20,4224,0.0000020972610090406865,0.9997987680441873
309.7032314507151,0.020287761537869087,20,4224,0.0000014190027546318865,0.9998344748900552
341.48129947336855,0.018399793244518795,20,4224,9.600884430161364e-7,0.999863846387419
376.5200554860114,0.016687518275936886,20,4224,6.495864862369538e-7,0.9998880064287867
415.1540725709499,0.015134586704808946,20,4224,4.3950200302834e-7,0.9999078795820436
457.75225372728914,0.013726170119356446,20,4224,2.973604492758432e-7,0.9999242264235444
504.7213543993414,0.012448820031910631,20,4224,2.0118902680851863e-7,0.9999376726135909
556.5098664450751,0.01129033946390905,20,4224,1.361207518256098e-7,0.9999487328207056
613.6123006312791,0.010239666481124154,20,4224,9.209658698897874e-8,0.999957830406083
676.5739085475352,0.00928676856704139,20,4224,6.231061412277216e-8,0.9999653136187415
745.9958890269269,0.00842254682579463,20,4224,4.2157995243578506e-8,0.9999714689193431
822.5411287878163,0.007638749099925439,20,4224,2.8523144035171716e-8,0.999976531941357
906.9405321121209,0.0069278911733573565,20,4224,1.9298095413701604e-8,0.9999806965082769
999.9999999999998,0.0062831853071795875,20,4224,1.3056632568340313e-8,0.9999841220514656
2100000,0.0000029919930034188506,20,4224,6.713684053519357e-22,0.9999999999963984
5,1.2566370614359172,20,4224,11.62353600301029,0.5563911380033072
